,US 1,US 2,US 3,US 4,US 5
48,0.022241071,0.0233581,0.051580477,0.0718366,0.031499276
49,0.021948287,0.026480483,0.053344872,0.072782841,0.032435451
50,0.021968976,0.024313114,0.053122924,0.069307294,0.028766173
51,0.024637806,0.02546137,0.051056484,0.075602298,0.026302471
52,0.023856656,0.026580415,0.052337586,0.079651295,0.027766548
53,0.023089294,0.026215572,0.048074032,0.077906682,0.030659844
54,0.022862348,0.025451004,0.049259262,0.079239374,0.030155872
55,0.023320011,0.025468899,0.051788643,0.078553449,0.032803678
56,0.022045465,0.025210604,0.058733256,0.071463824,0.02987398
57,0.023249796,0.026097722,0.057693132,0.079643835,0.026844419
58,0.021940144,0.024729799,0.060403746,0.079986794,0.025285691
59,0.022879279,0.026298528,0.069496884,0.081187765,0.02822788
60,0.023116886,0.025129524,0.061771524,0.080808765,0.030407594
61,0.024600201,0.026907533,0.064350807,0.080403675,0.030667643
62,0.024866639,0.027855009,0.061222575,0.081115068,0.028553453
63,0.022682424,0.026453148,0.061541703,0.078582658,0.031242349
64,0.02277959,0.025565063,0.070073409,0.083692829,0.029459983
65,0.022422246,0.025957262,0.067582776,0.083531916,0.029526033
66,0.021863029,0.02461384,0.064025761,0.079213889,0.031341173
67,0.022163957,0.025088984,0.069592746,0.080129696,0.032402164
68,0.023543191,0.025787564,0.064934546,0.080107949,0.031497721
69,0.023309357,0.026037396,0.068154708,0.07706731,0.029574922
70,0.022525066,0.026478595,0.065757985,0.082906266,0.025862473
71,0.022555163,0.025263389,0.069672858,0.083340561,0.027375952
72,0.024056645,0.027239397,0.063876056,0.081945126,0.029223338
73,0.022832879,0.026419209,0.061665806,0.079687943,0.02846452
74,0.023826567,0.026345672,0.067326033,0.083123103,0.029555162
75,0.023696167,0.026192004,0.067681934,0.081174095,0.028311087
76,0.023659177,0.027022573,0.071375518,0.085541199,0.026299875
77,0.022536973,0.025582048,0.069544814,0.085560462,0.027498699
78,0.022940717,0.024976801,0.067928167,0.084624162,0.02921398
79,0.023206538,0.026173144,0.065262214,0.082183082,0.029533833
80,0.02298899,0.024176407,0.0671448,0.080580758,0.032321029
81,0.02412624,0.026069444,0.069506075,0.080172562,0.031095684
82,0.023688642,0.026666199,0.069997244,0.083476623,0.027116424
83,0.024324976,0.026607755,0.068363521,0.084434047,0.029203572
84,0.02268869,0.025627289,0.068622892,0.084124011,0.030460646
85,0.021782782,0.024727908,0.066440885,0.080798826,0.030456486
86,0.022607192,0.026213681,0.067185511,0.078621174,0.030061732
87,0.02426667,0.026510648,0.065991087,0.080113536,0.03059795
88,0.023255439,0.025141771,0.067748909,0.079886758,0.028743809
89,0.023365775,0.026291936,0.069290042,0.08170779,0.028195108
90,0.022762043,0.024815586,0.0679551,0.087111833,0.029651903
91,0.022230405,0.024328184,0.064585215,0.083342425,0.030158468
92,0.022526315,0.025949724,0.0682821,0.08239308,0.030736303
93,0.022545124,0.025720625,0.066798753,0.081610242,0.030402916
94,0.023264842,0.026033605,0.069346515,0.077988073,0.030108538
95,0.024019033,0.025960081,0.066755419,0.080280662,0.028085884
96,0.023481132,0.026142041,0.068483026,0.086553296,0.026446023
97,0.025119292,0.027041413,0.070366271,0.088511001,0.027109145
98,0.022778344,0.025289787,0.064970004,0.085920809,0.030587035
99,0.022856083,0.025656518,0.068242698,0.08377112,0.030931854
100,0.022971439,0.024681713,0.070091135,0.08419298,0.030178235
101,0.023274236,0.025642379,0.065595785,0.07942763,0.029958755
102,0.023019708,0.025462307,0.069037894,0.082015953,0.029457896
103,0.022627873,0.024298018,0.07086071,0.081825833,0.025842707
104,0.022720039,0.025458539,0.066357486,0.084895048,0.027459692
105,0.022072428,0.024329129,0.062510898,0.082193019,0.030149627
106,0.022100633,0.025071069,0.062217377,0.078159554,0.031522164
107,0.023425332,0.026979199,0.06047598,0.076560957,0.028877996
108,0.023734411,0.026461622,0.064607545,0.079722122,0.030518382
109,0.023168927,0.025723456,0.068071315,0.081752529,0.029976434
110,0.023025353,0.02475337,0.067505295,0.084117806,0.027918413
111,0.022426634,0.025259621,0.063763103,0.081357999,0.028817139
112,0.023356376,0.027103635,0.065476282,0.079634517,0.029233739
113,0.022806549,0.024692087,0.063742099,0.084264432,0.030201117
114,0.022962662,0.024735461,0.064123597,0.080289994,0.028666314
115,0.023046044,0.024976801,0.063963385,0.081171606,0.029873457
116,0.02260531,0.025233229,0.066036398,0.080048921,0.030926657
117,0.023600247,0.026489909,0.066348299,0.081659952,0.029498468
118,0.024524336,0.025568845,0.068477778,0.080872762,0.027330709
119,0.023980162,0.027449629,0.066685153,0.08735104,0.029316439
120,0.023913708,0.027129094,0.066321376,0.085313798,0.029081351
121,0.022631642,0.025717798,0.065681158,0.081557431,0.030474165
122,0.022694337,0.025697997,0.066822388,0.086174913,0.030211522
123,0.022037311,0.025382181,0.065233972,0.08104176,0.02965554
124,0.022320683,0.025595244,0.061722933,0.079217011,0.031290206
125,0.021882466,0.024721319,0.062747289,0.078777125,0.025970132
126,0.021137673,0.025205888,0.063369775,0.081759364,0.026550562
127,0.021943275,0.025727218,0.063924642,0.081149861,0.028608059
128,0.024304289,0.026475773,0.05965518,0.075300339,0.027934019
129,0.023765129,0.028757215,0.063859637,0.082662106,0.029614972
130,0.023560744,0.026544587,0.067880241,0.081329417,0.03134377
131,0.024793289,0.028552647,0.068200679,0.086256933,0.030271846
132,0.023656041,0.025781905,0.068751595,0.083496501,0.029687782
133,0.02315889,0.025022991,0.069691247,0.086489915,0.027489858
134,0.022557035,0.025233223,0.066891994,0.086115275,0.027435244
135,0.022704995,0.023293044,0.061423508,0.08345612,0.026267626
136,0.02185488,0.025120092,0.062206222,0.081871181,0.029070951
137,0.022166458,0.024028388,0.057914431,0.078534194,0.026249943
138,0.025396392,0.026897188,0.060853544,0.078361477,0.027795154
139,0.023456681,0.0281633,0.064826206,0.081960038,0.029322153
140,0.024310549,0.02716303,0.070762222,0.084118422,0.031058758
141,0.023506832,0.025882783,0.068563789,0.085671045,0.030945899
142,0.023462951,0.026538935,0.064048744,0.083360445,0.029220738
143,0.022867993,0.02477882,0.063438728,0.08344059,0.031770767
144,0.02253886,0.025246434,0.061682881,0.079631413,0.02852953
145,0.023022842,0.026126014,0.058977525,0.081205156,0.028654354
146,0.022497476,0.025398202,0.06043329,0.07966558,0.029028824
147,0.023230357,0.02566407,0.058306428,0.080130315,0.028527967
148,0.023351358,0.027097971,0.060142411,0.079937084,0.028457239
149,0.023358882,0.025324671,0.059380041,0.07910082,0.027998508
150,0.023032869,0.025602776,0.060723526,0.080285016,0.031926283
151,0.025002058,0.028514001,0.05980555,0.077657541,0.027983426
152,0.024933718,0.027204516,0.060706465,0.083717067,0.03104419
153,0.023171425,0.024846703,0.064693565,0.082714292,0.0309719
154,0.023336307,0.025388776,0.06083779,0.083265386,0.031393174
155,0.023133181,0.026270253,0.057082462,0.078634228,0.03119242
156,0.023061089,0.023849264,0.057891435,0.080156407,0.032598764
157,0.022105647,0.025561296,0.059129861,0.081621423,0.031343254
158,0.022814081,0.026296637,0.05568251,0.080050786,0.030311378
159,0.023951323,0.026128839,0.055882128,0.079677384,0.028652791
160,0.024006494,0.026935823,0.05961315,0.082503669,0.029564005
161,0.022899968,0.025693285,0.061518718,0.083777951,0.032257065
162,0.022183392,0.024830674,0.058388516,0.081894175,0.02994835
163,0.022948241,0.026310799,0.054394846,0.080337825,0.029828728
164,0.022708127,0.026558729,0.056816523,0.07981283,0.032736589
165,0.023109354,0.025879009,0.056260344,0.079301502,0.032309589
166,0.022355167,0.026282507,0.056078459,0.081011936,0.031262633
167,0.0230987,0.025953488,0.057377958,0.079969397,0.029620169
168,0.022257997,0.025055984,0.058450904,0.080314828,0.029780357
169,0.022248587,0.025566951,0.057643236,0.081651244,0.028187827
170,0.022257995,0.025826219,0.056664844,0.080378208,0.028730811
171,0.02433438,0.027363848,0.054373833,0.079833953,0.029624332
172,0.023814651,0.027150774,0.056193377,0.079564309,0.031641261
173,0.024584518,0.026523856,0.060827277,0.079338779,0.026528198
174,0.02342345,0.026428635,0.062797195,0.083447423,0.033327934
175,0.023177697,0.027880474,0.058714211,0.080888294,0.028920118
176,0.022514402,0.025973283,0.058823871,0.078485116,0.030733697
177,0.021947034,0.025914825,0.057657023,0.079777417,0.031716679
178,0.022201562,0.023747465,0.058081867,0.079049876,0.030479893
179,0.025108014,0.026453145,0.057787694,0.077139386,0.02907719
180,0.024678562,0.02798511,0.061550237,0.08352571,0.031785331
181,0.024989516,0.026398466,0.067974792,0.086463825,0.032347033
182,0.024768209,0.026023252,0.067723959,0.089681526,0.032608122
183,0.025792614,0.026960339,0.059255284,0.085935719,0.031430106
184,0.026990671,0.02849514,0.063657395,0.086904329,0.031661029
185,0.028509093,0.029190896,0.065593167,0.093084371,0.035964827
186,0.026631443,0.028783613,0.06506916,0.096481006,0.034328082
187,0.027805679,0.027342157,0.062744663,0.09296881,0.034763403
188,0.029148561,0.029017428,0.06191073,0.092473015,0.036932197
189,0.027874013,0.029788596,0.06045627,0.094525158,0.036462039
190,0.027894075,0.029290816,0.061034118,0.093054546,0.035521704
191,0.02780191,0.04029647,0.056670746,0.092504702,0.037202651
192,0.030902077,0.039163284,0.058560562,0.091088142,0.034091962
193,0.030474512,0.034888863,0.059900101,0.094871853,0.037720664
194,0.029731606,0.038174337,0.061633632,0.096319468,0.038239204
195,0.029795549,0.045330742,0.060720249,0.09448602,0.037893343
196,0.029089008,0.051089044,0.062286989,0.093091204,0.038967336
197,0.029461391,0.049814455,0.063760483,0.094915338,0.037059104
198,0.030100857,0.050428173,0.063327763,0.095048911,0.039907154
199,0.029491484,0.055537878,0.064291048,0.095547192,0.039652819
200,0.028714726,0.062478393,0.065684434,0.093779598,0.039623697
201,0.029374879,0.055742449,0.068303107,0.096376619,0.038953821
